Animal ID,Description/Breed,Sex,Intake,Shelter County
A396536,LABRADOR RETR/PIT BULL,Male,OVER THE COUNTER,SoCo
A400601,ALASKAN HUSKY/GERM SHEPHERD,Female,FIELD,SoCo
A398766,POODLE MIN/MIX,Male,FIELD,SoCo
A397747,GOLDEN RETR/MIX,Neutered,FIELD,SoCo
A249947,PARSON RUSS TER/CHIHUAHUA SH,Neutered,FIELD,SoCo
A398756,CHIHUAHUA SH,Spayed,FIELD,SoCo
A398755,CHIHUAHUA LH,Male,FIELD,SoCo
A374423,CHIHUAHUA SH/DACHSHUND,Male,FIELD,SoCo
A374424,DACHSHUND WH/CHIHUAHUA SH,Male,FIELD,SoCo
A372683,DOBERMAN PINSCH,Neutered,FIELD,SoCo
A400278,GERM SH POINT,Neutered,FIELD,SoCo
A377429,SIBERIAN HUSKY,Neutered,OVER THE COUNTER,SoCo
A354188,CHIHUAHUA SH/MIX,Spayed,FIELD,SoCo
A372683,DOBERMAN PINSCH,Neutered,FIELD,SoCo
A262039,PARSON RUSS TER/MIX,Neutered,FIELD,SoCo
A318914,BRUSS GRIFFON,Spayed,FIELD,SoCo
A326432,CHIHUAHUA SH,Neutered,FLD_CRUEL,SoCo
A326446,DOMESTIC SH,Neutered,FLD_CRUEL,SoCo
A389406,PIT BULL,Spayed,FIELD,SoCo
A326440,CHOW CHOW/MIX,Neutered,FLD_CRUEL,SoCo
A326449,DOMESTIC SH,Neutered,FLD_CRUEL,SoCo
A326443,DOMESTIC SH,Neutered,FLD_CRUEL,SoCo
A395586,CHICKEN,Male,FIELD,SoCo
A326450,BEAGLE/FOX TERR WIRE,Female,FLD_CRUEL,SoCo
A395190,CHIHUAHUA SH,Spayed,FIELD,SoCo
A326447,DOMESTIC SH,Neutered,FLD_CRUEL,SoCo
A326442,DOMESTIC SH,Spayed,FLD_CRUEL,SoCo
A326436,CHIHUAHUA SH,Spayed,FLD_CRUEL,SoCo
A326433,PARSON RUSS TER,Neutered,FLD_CRUEL,SoCo
A395847,ST BERNARD RGH,Male,FIELD,SoCo
A395202,DOMESTIC LH,Female,OVER THE COUNTER,SoCo
A326435,CHIHUAHUA SH,Spayed,FLD_CRUEL,SoCo
A326441,ANATOL SHEPHERD/MIX,Neutered,FLD_CRUEL,SoCo
A326448,DOMESTIC SH,Spayed,FLD_CRUEL,SoCo
A326444,DOMESTIC SH,Neutered,FLD_CRUEL,SoCo
A326431,AMER FOXHOUND/MIX,Neutered,FLD_CRUEL,SoCo
A400159,POODLE MIN,Female,FIELD,SoCo
A395094,TIBETAN TERR/MIX,Neutered,OVER THE COUNTER,SoCo
A393951,MASTIFF/ROTTWEILER,Neutered,FIELD,SoCo
A326438,CHIHUAHUA SH,Neutered,FLD_CRUEL,SoCo
A395851,BAT,Unknown,FLD_STRAY,SoCo
A395587,CHICKEN,Male,FIELD,SoCo
A326445,DOMESTIC SH,Female,FLD_CRUEL,SoCo
A326437,CAIRN TERRIER/MIX,Male,FLD_CRUEL,SoCo
A312393,DOMESTIC SH,Spayed,MUN_SHELT,SoCo
A313903,PIT BULL,Neutered,VET_HOSP,SoCo
A395928,DOMESTIC MH,Unknown,FIELD,SoCo
A326439,FOX TERR SMOOTH,Neutered,FLD_CRUEL,SoCo
A393498,DOMESTIC MH,Neutered,OVER THE COUNTER,SoCo
A393597,DOMESTIC SH,Male,FIELD,SoCo
A296961,PIT BULL,Spayed,OVER THE COUNTER,SoCo
A363772,AUST CATTLE DOG,Spayed,PRIV_SHELT,SoCo
A393561,DOMESTIC SH,Unknown,FLD_ARREST,SoCo
A393565,CHICKEN,Female,FIELD,SoCo
A387350,DOMESTIC SH,Spayed,OVER THE COUNTER,SoCo
A333746,AUST CATTLE DOG/MIX,Spayed,FIELD,SoCo
A351259,PIT BULL,Neutered,FIELD,SoCo
A398954,DOMESTIC SH,Female,FIELD,SoCo
A348522,DOMESTIC SH,Spayed,OVER THE COUNTER,SoCo
A366374,GERM SHEPHERD,Female,OVER THE COUNTER,SoCo
A341249,ENG COONHOUND/MIX,Spayed,FIELD,SoCo
A393412,DOMESTIC SH,Spayed,FIELD,SoCo
A384218,CAIRN TERRIER/MIX,Male,OVER THE COUNTER,SoCo
A398955,ROTTWEILER/MIX,Neutered,FIELD,SoCo
A362328,CHIHUAHUA SH/MIX,Male,OVER THE COUNTER,SoCo
A398955,ROTTWEILER/MIX,Neutered,FIELD,SoCo
A329246,PIT BULL,Spayed,FIELD,SoCo
A346168,PIT BULL,Spayed,OVER THE COUNTER,SoCo
A395685,GERM SHEPHERD,Male,FLD_STRAY,SoCo
A400536,DOMESTIC SH,Female,PHONE,SoCo
A022724,MASTIFF/REDBONE HOUND,Neutered,PRIV_SHELT,SoCo
A395544,CHICKEN,Female,FIELD,SoCo
A396987,LABRADOR RETR/MIX,Female,FLD_ARREST,SoCo
A391595,SIBERIAN HUSKY,Spayed,FIELD,SoCo
A395196,CHIHUAHUA SH,Neutered,VET_HOSP,SoCo
A338026,GERM SHEPHERD,Male,FIELD,SoCo
A395197,CHIHUAHUA SH,Female,VET_HOSP,SoCo
A338026,GERM SHEPHERD,Male,FIELD,SoCo
A394192,DOMESTIC SH,Neutered,OVER THE COUNTER,SoCo
A395198,CHIHUAHUA SH,Female,VET_HOSP,SoCo
A392230,GERM SHEPHERD/SIBERIAN HUSKY,Spayed,FIELD,SoCo
A395208,GERM SHEPHERD/MIX,Female,OVER THE COUNTER,SoCo
A391363,DOMESTIC LH,Neutered,OVER THE COUNTER,SoCo
A393416,POODLE MIN/MIX,Female,FLD_HOSPTL,SoCo
A387350,DOMESTIC SH,Spayed,OVER THE COUNTER,SoCo
A333076,PIT BULL,Neutered,FIELD,SoCo
A300715,PIT BULL,Neutered,FIELD,SoCo
A393513,DOMESTIC SH,Neutered,OVER THE COUNTER,SoCo
A395220,GREAT PYRENEES,Female,FIELD,SoCo
A393508,DOMESTIC SH,Spayed,OVER THE COUNTER,SoCo
A393509,DOMESTIC SH,Neutered,OVER THE COUNTER,SoCo
A278854,PIT BULL,Spayed,FIELD,SoCo
A395205,SCHNAUZER GIANT,Neutered,FIELD,SoCo
A393515,DOMESTIC SH,Neutered,OVER THE COUNTER,SoCo
A391838,GERM SHEPHERD,Neutered,OVER THE COUNTER,SoCo
A391364,DOMESTIC LH,Spayed,OVER THE COUNTER,SoCo
A393598,GERM SHEPHERD,Female,FIELD,SoCo
A398927,DOMESTIC SH,Neutered,PHONE,SoCo
A398946,BOXER,Female,FIELD,SoCo
A398996,DOMESTIC SH,Male,FIELD,SoCo
A326739,VIZSLA,Spayed,FLD_ARREST,SoCo
A398997,DOMESTIC SH,Male,FIELD,SoCo
A337522,COCKER SPAN,Spayed,FIELD,SoCo
A396951,SHIH TZU,Female,FLD_HOSPTL,SoCo
A398928,DOMESTIC SH,Neutered,PHONE,SoCo
A396474,PIT BULL,Male,FLD_ARREST,SoCo
A395919,DOMESTIC SH,Neutered,OVER THE COUNTER,SoCo
A396873,PIT BULL/MIX,Female,FIELD,SoCo
A395909,DOMESTIC LH,Neutered,FIELD_OS,SoCo
A395574,PIG,Male,FIELD,SoCo
A395575,PIG,Female,FIELD,SoCo
A390426,SIBERIAN HUSKY,Spayed,OVER THE COUNTER,SoCo
A308868,DACHSHUND,Spayed,FLD_CRUEL,SoCo
A332411,GREAT PYRENEES/CATAHOULA,Neutered,OVER THE COUNTER,SoCo
A396952,PARSON RUSS TER/MIX,Female,FLD_HOSPTL,SoCo
A269364,RABBIT SH,Neutered,FIELD,SoCo
A396855,CHIHUAHUA LH/MIX,Male,FIELD,SoCo
A308867,DACHSHUND,Neutered,FLD_CRUEL,SoCo
A200778,AUST TERRIER/MIX,Neutered,FIELD,SoCo
A302194,CHIHUAHUA SH,Spayed,OVER THE COUNTER,SoCo
A306350,AUST CATTLE DOG/MIX,Spayed,FIELD,SoCo
A313974,CALIFORNIAN/MIX,Neutered,FIELD,SoCo
A396272,PARSON RUSS TER/CHIHUAHUA SH,Neutered,FIELD,SoCo
A339993,DOMESTIC SH,Spayed,OVER THE COUNTER,SoCo
A396875,PIT BULL/MIX,Male,FIELD,SoCo
A398929,DOMESTIC LH,Spayed,PHONE,SoCo
A393674,PARSON RUSS TER/MIX,Male,OVER THE COUNTER,SoCo
A398861,CAIRN TERRIER/MIX,Female,FIELD,SoCo
A394290,DOMESTIC SH,Spayed,OVER THE COUNTER,SoCo
A394406,DOMESTIC SH,Neutered,OVER THE COUNTER,SoCo
A393630,BORDER COLLIE/MIX,Neutered,FLD_ARREST,SoCo
A393511,DOMESTIC SH,Spayed,OVER THE COUNTER,SoCo
A394301,GERM SHEPHERD/MIX,Male,VET_HOSP,SoCo
A393601,DOMESTIC MH,Male,OVER THE COUNTER,SoCo
A393627,CHIHUAHUA LH/MIX,Spayed,FIELD,SoCo
A369288,PARSON RUSS TER/MIX,Neutered,FIELD,SoCo
A383329,DACHSHUND,Spayed,FIELD,SoCo
A378300,LABRADOR RETR,Neutered,VET_HOSP,SoCo
A394405,DOMESTIC SH,Neutered,OVER THE COUNTER,SoCo
A391368,DOMESTIC MH,Neutered,OVER THE COUNTER,SoCo
A341335,RHOD RIDGEBACK,Neutered,FIELD,SoCo
A342146,PIT BULL/MIX,Male,FLD_ARREST,SoCo
A389009,PIT BULL/LABRADOR RETR,Neutered,PHONE,SoCo
A393678,DOMESTIC MH,Female,FIELD,SoCo
A395218,AKBASH/MIX,Male,OVER THE COUNTER,SoCo
A400471,PIT BULL,Female,FIELD,SoCo
A400639,LABRADOR RETR,Female,FIELD,SoCo
